size_bytes,latency_ms,bandwidth_mbit_s
1,0.034325,0.2331
2,0.032656,0.49
4,0.034637,0.9239
8,0.031552,2.0284
16,0.030919,4.1398
32,0.029826,8.5832
64,0.029618,17.2871
128,0.030558,33.51
256,0.03041,67.3458
512,0.031584,129.6871
1024,0.039791,205.8781
4096,0.099664,328.7853
16384,0.173965,753.44
65536,0.084874,6177.2318
262144,0.163843,12799.7706
1048576,0.340443,24640.2665
4194304,2.155442,15567.3088
8388608,5.992697,11198.4419
