size_bytes,latency_ms,bandwidth_mbit_s
1,0.00129,6.1993
2,0.001271,12.5924
4,0.001269,25.2175
8,0.001306,48.9914
16,0.001296,98.755
32,0.001267,201.9726
64,0.001288,397.6382
128,0.00136,753.1433
256,0.001382,1481.5447
512,0.001429,2866.634
1024,0.00148,5534.2321
4096,0.002155,15204.5842
16384,0.004425,29617.5682
65536,0.009638,54395.3073
262144,0.025297,82901.9084
1048576,0.176711,47470.6875
4194304,0.766923,43752.0064
8388608,2.681827,25023.5644
