size_bytes,latency_ms,bandwidth_mbit_s
1,0.034519,0.2318
2,0.029244,0.5471
4,0.031357,1.0205
8,0.034065,1.8787
16,0.033591,3.8106
32,0.03006,8.5163
64,0.029992,17.071
128,0.030113,34.005
256,0.030621,66.883
512,0.030598,133.8651
1024,0.042187,194.1849
4096,0.044172,741.8199
16384,0.055965,2342.0518
65536,0.086353,6071.4381
262144,0.231408,9062.5709
1048576,0.712539,11772.8407
4194304,2.974942,11279.0219
8388608,7.183321,9342.3178
