Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
3,16,1000000000,10000000,0.368396,11.570671,4.780393,0.402264,19.794703
4,16,1000000000,10000000,0.368857,11.511035,4.781072,0.410897,19.747815
5,16,1000000000,10000000,0.368107,11.615032,4.781595,0.402038,19.841047
6,16,1000000000,10000000,0.367872,11.518911,4.781820,0.421956,19.770469
7,16,1000000000,10000000,0.368381,11.491560,4.783581,0.398209,19.722348
8,16,1000000000,10000000,0.368851,11.600241,4.781785,0.400575,19.824813
9,16,1000000000,10000000,0.368188,11.541197,4.783586,0.392529,19.762596
10,16,1000000000,10000000,0.372062,11.556396,4.781803,0.418096,19.806314
1,18,1000000000,10000000,0.328175,10.423497,4.252323,0.374328,18.054591
2,18,1000000000,10000000,0.330146,10.318218,4.251646,0.399951,17.973273
3,18,1000000000,10000000,0.328426,10.437790,4.252350,0.383414,18.074465
4,18,1000000000,10000000,0.328524,10.282098,4.251571,0.373877,17.909113
5,18,1000000000,10000000,0.328989,10.329634,4.252330,0.366084,17.949663
6,18,1000000000,10000000,0.330487,10.347004,4.251939,0.391287,17.996571
7,18,1000000000,10000000,0.328048,10.254818,4.251525,0.372826,17.880345
8,18,1000000000,10000000,0.328105,10.319205,4.249639,0.387889,17.962208
9,18,1000000000,10000000,0.328466,10.636256,4.250802,0.376871,18.269610
10,18,1000000000,10000000,0.329280,10.284082,4.251370,0.384496,17.923576
1,20,1000000000,10000000,0.296394,9.351676,3.826231,0.376338,16.526320
2,20,1000000000,10000000,0.297387,9.292319,3.827120,0.383811,16.534834
3,20,1000000000,10000000,0.296735,9.349144,3.825841,0.382628,16.526986
4,20,1000000000,10000000,0.298459,9.333006,3.826644,0.361437,16.495252
5,20,1000000000,10000000,0.295951,9.422355,3.827367,0.370248,16.593728
6,20,1000000000,10000000,0.299030,9.249913,3.825023,0.388924,16.442263
7,20,1000000000,10000000,0.296260,9.357883,3.826680,0.378352,16.532880
8,20,1000000000,10000000,0.295987,9.298333,3.825495,0.373962,16.467051
9,20,1000000000,10000000,0.296613,9.370149,3.827892,0.354075,16.524738
10,20,1000000000,10000000,0.296835,9.316222,3.826917,0.368659,16.481205
1,22,1000000000,10000000,0.270445,8.567151,3.480517,0.352579,15.346256
2,22,1000000000,10000000,0.270774,8.539323,3.480316,0.362370,15.329500
3,22,1000000000,10000000,0.270317,8.572089,3.480166,0.339342,15.334649
4,22,1000000000,10000000,0.270984,8.642652,3.480601,0.371890,15.440736
5,22,1000000000,10000000,0.273797,8.576018,3.480048,0.351331,15.355471
6,22,1000000000,10000000,0.270455,8.549507,3.480696,0.346241,15.319641
7,22,1000000000,10000000,0.270537,8.544088,3.480535,0.355668,15.327471
8,22,1000000000,10000000,0.270502,8.579393,3.480588,0.361163,15.365228
9,22,1000000000,10000000,0.272047,8.513266,3.479204,0.358434,15.303980
10,22,1000000000,10000000,0.270131,8.557795,3.480444,0.361257,15.347405
1,24,1000000000,10000000,0.248656,7.899713,3.189815,0.352614,14.367277
2,24,1000000000,10000000,0.248575,7.940372,3.188402,0.336689,14.387898
3,24,1000000000,10000000,0.248808,7.909913,3.190438,0.357300,14.379725
4,24,1000000000,10000000,0.248925,7.839908,3.189610,0.336537,14.292657
5,24,1000000000,10000000,0.248054,7.919619,3.189483,0.359668,14.395297
6,24,1000000000,10000000,0.251380,7.827220,3.190210,0.349243,14.292237
7,24,1000000000,10000000,0.251502,7.887910,3.189706,0.348125,14.356646
8,24,1000000000,10000000,0.252058,7.893596,3.190005,0.346511,14.355084
9,24,1000000000,10000000,0.249080,7.834384,3.189490,0.368147,14.316575
10,24,1000000000,10000000,0.248628,7.930947,3.190476,0.381370,14.429812
1,26,1000000000,10000000,0.230401,7.361772,2.944395,0.353392,13.565803
2,26,1000000000,10000000,0.230107,7.272634,2.944388,0.345988,13.473100
3,26,1000000000,10000000,0.230312,7.295770,2.943860,0.353432,13.495592
4,26,1000000000,10000000,0.230580,7.310135,2.943230,0.345174,13.503051
5,26,1000000000,10000000,0.230545,7.333242,2.943355,0.342896,13.524652
6,26,1000000000,10000000,0.230261,7.315580,2.944431,0.343246,13.506212
7,26,1000000000,10000000,0.230502,7.287405,2.944094,0.336569,13.473243
8,26,1000000000,10000000,0.230893,7.292494,2.943669,0.352500,13.492221
9,26,1000000000,10000000,0.230745,7.341999,2.943841,0.336833,13.532350
10,26,1000000000,10000000,0.232135,7.368046,2.945634,0.335070,13.551389
1,28,1000000000,10000000,0.217767,6.857658,2.733510,0.372566,12.857533
2,28,1000000000,10000000,0.214991,6.835388,2.734665,0.324233,12.783488
3,28,1000000000,10000000,0.216060,6.876640,2.734251,0.328763,12.827935
