Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,2,2000000000,100,5.799961,64.016028,234.190374,2.512147,311.805115
2,2,2000000000,100,5.751026,61.806856,234.196274,2.528314,309.571219
3,2,2000000000,100,5.794901,63.723240,226.450727,2.507008,303.855646
4,2,2000000000,100,5.797094,63.377204,225.798336,2.511459,302.777040
5,2,2000000000,100,5.774509,63.296716,229.951621,2.520472,306.827491
6,2,2000000000,100,5.767047,61.191804,227.913931,2.500135,302.655107
7,2,2000000000,100,5.765676,63.034649,230.596694,2.492654,307.169809
8,2,2000000000,100,5.767603,63.118743,235.014852,2.509313,311.700694
9,2,2000000000,100,5.767519,61.209211,233.321484,2.500640,308.161251
10,2,2000000000,100,5.784132,63.138167,231.609258,2.536956,308.356533
1,4,2000000000,100,2.907811,94.082517,117.553751,1.364637,221.249821
2,4,2000000000,100,2.904298,87.327643,118.935102,1.294273,215.813450
3,4,2000000000,100,2.904831,94.570741,118.203272,1.330992,222.354941
4,4,2000000000,100,2.900550,93.921613,118.127492,1.341966,221.735616
5,4,2000000000,100,2.902689,92.504516,117.481246,1.350117,219.574589
6,4,2000000000,100,2.901040,93.533634,118.775299,1.330420,221.879923
7,4,2000000000,100,2.894618,93.962151,118.997015,1.342252,222.535258
8,4,2000000000,100,2.904103,94.113701,117.980701,1.364520,221.704016
9,4,2000000000,100,2.899330,93.292447,116.835290,1.357687,219.727014
10,4,2000000000,100,2.902300,93.254250,117.961371,1.333545,220.788982
1,6,2000000000,100,1.944193,76.231056,82.387513,0.957728,166.856112
2,6,2000000000,100,1.934664,69.955003,82.850423,0.930971,161.014235
3,6,2000000000,100,1.942913,76.636738,82.791161,0.935828,167.642292
4,6,2000000000,100,1.939235,76.003560,82.600096,0.927842,166.809455
5,6,2000000000,100,1.942222,75.590651,82.596941,0.938400,166.401024
6,6,2000000000,100,1.940353,75.075037,82.119673,0.893160,165.365220
7,6,2000000000,100,1.937364,75.572493,82.379657,0.929842,166.163815
8,6,2000000000,100,1.940390,75.385865,82.498317,0.924757,166.089342
9,6,2000000000,100,1.936401,75.389877,82.489241,0.886396,166.038774
10,6,2000000000,100,1.940578,76.168539,82.683373,0.949074,167.073698
1,8,2000000000,100,1.458266,67.377060,63.865799,0.696718,138.741730
2,8,2000000000,100,1.457266,62.074914,63.441685,0.712868,133.024148
3,8,2000000000,100,1.475777,67.072011,64.086617,0.737583,138.714386
4,8,2000000000,100,1.455260,66.929872,63.664006,0.706918,138.095453
5,8,2000000000,100,1.458173,66.632817,63.796076,0.717605,137.941359
6,8,2000000000,100,1.461139,66.599402,63.846620,0.727714,137.974565
7,8,2000000000,100,1.455030,67.095180,63.721917,0.713690,138.326245
8,8,2000000000,100,1.456147,66.555069,63.684325,0.717290,137.754017
9,8,2000000000,100,1.457749,67.063691,63.633196,0.717684,138.211850
10,8,2000000000,100,1.473867,67.511269,63.527432,0.720346,138.570976
1,10,2000000000,100,1.173067,60.887761,49.206410,0.595811,117.205441
2,10,2000000000,100,1.168128,56.853934,49.188960,0.597279,113.149043
3,10,2000000000,100,1.168835,61.869367,49.192730,0.593417,118.160816
4,10,2000000000,100,1.169352,60.992738,48.902640,0.595272,116.997005
5,10,2000000000,100,1.170040,60.883999,49.046817,0.578725,117.013399
6,10,2000000000,100,1.169591,60.289198,49.139089,0.592723,116.525799
7,10,2000000000,100,1.168081,60.786492,49.102137,0.590726,117.001585
8,10,2000000000,100,1.169633,60.782563,48.983045,0.592271,116.866633
9,10,2000000000,100,1.180709,60.721393,49.068241,0.608993,116.918162
10,10,2000000000,100,1.167227,60.584098,49.110348,0.594088,116.792687
1,12,2000000000,100,0.976839,57.453830,44.454167,0.528627,108.756248
2,12,2000000000,100,0.975848,53.533335,44.309358,0.519545,104.674868
3,12,2000000000,100,0.976218,57.357442,44.270967,0.521106,108.464077
4,12,2000000000,100,0.975554,57.201987,44.179057,0.509846,108.204486
5,12,2000000000,100,0.976653,57.069594,44.263498,0.529515,108.178810
6,12,2000000000,100,0.975352,57.085898,44.205433,0.535680,108.141094
7,12,2000000000,100,0.975886,57.255903,44.246238,0.530419,108.361479
8,12,2000000000,100,0.976888,57.072720,44.309707,0.494977,108.196650
9,12,2000000000,100,0.975801,56.759726,44.414413,0.531703,108.021017
10,12,2000000000,100,0.975318,57.595190,44.336234,0.541255,108.785663
1,14,2000000000,100,0.840020,54.742820,39.078030,0.516132,100.513749
2,14,2000000000,100,0.842257,51.075024,39.336623,0.517020,97.110967
3,14,2000000000,100,0.839392,54.672891,39.221203,0.459707,100.531004
4,14,2000000000,100,0.838312,54.852664,39.290092,0.506054,100.835040
5,14,2000000000,100,0.839689,53.843595,39.099945,0.475543,99.597504
6,14,2000000000,100,0.839468,54.405432,39.319694,0.485098,100.389316
7,14,2000000000,100,0.848221,53.611715,39.162743,0.487068,99.457378
8,14,2000000000,100,0.839750,54.834633,39.216768,0.527134,100.758950
9,14,2000000000,100,0.839768,54.225282,39.003847,0.480293,100.021549
10,14,2000000000,100,0.838734,54.899071,39.216106,0.468380,100.757335
1,16,2000000000,100,0.736741,52.232531,34.364847,0.464663,93.141708
2,16,2000000000,100,0.736894,49.067112,34.353879,0.457925,89.954917
3,16,2000000000,100,0.735908,52.753766,34.326408,0.451450,93.605856
4,16,2000000000,100,0.736452,52.431005,34.302687,0.447172,93.257206
5,16,2000000000,100,0.736153,52.147299,34.270416,0.445541,92.947597
6,16,2000000000,100,0.735557,52.736566,34.371053,0.420448,93.605310
7,16,2000000000,100,0.736423,52.423789,34.330325,0.460356,93.292143
8,16,2000000000,100,0.736140,52.334718,34.318506,0.436163,93.165313
9,16,2000000000,100,0.736156,52.283579,34.367409,0.426915,93.150865
10,16,2000000000,100,0.735820,52.553927,34.314488,0.453191,93.398093
1,18,2000000000,100,0.656635,50.853525,29.726530,0.447912,87.035178
2,18,2000000000,100,0.655796,47.655938,29.652421,0.447170,83.750192
3,18,2000000000,100,0.656572,51.754192,29.702832,0.402379,87.857252
4,18,2000000000,100,0.656236,51.833457,29.639311,0.428681,87.893664
5,18,2000000000,100,0.656991,50.935197,29.668987,0.448646,87.048255
6,18,2000000000,100,0.656538,51.444380,29.639074,0.434977,87.517339
7,18,2000000000,100,0.656399,50.908419,29.602388,0.410498,86.918793
8,18,2000000000,100,0.658651,51.049810,29.658314,0.407324,87.117076
9,18,2000000000,100,0.656139,50.463127,29.703236,0.420074,86.578602
10,18,2000000000,100,0.656475,50.549734,29.643518,0.444241,86.627485
1,20,2000000000,100,0.592005,49.875008,24.846624,0.395794,81.049669
2,20,2000000000,100,0.592515,46.639384,24.803556,0.411763,77.787302
3,20,2000000000,100,0.592889,49.858046,24.776347,0.408564,80.974703
4,20,2000000000,100,0.592157,50.046199,24.814020,0.395518,81.190223
5,20,2000000000,100,0.592276,50.216062,24.809027,0.396142,81.349307
6,20,2000000000,100,0.592452,49.599990,24.795440,0.407179,80.737012
7,20,2000000000,100,0.591790,49.843199,24.718538,0.400911,80.889686
8,20,2000000000,100,0.601191,49.852130,24.727115,0.384450,80.907473
9,20,2000000000,100,0.593014,49.357210,24.697576,0.395441,80.378779
10,20,2000000000,100,0.592649,49.567774,24.830019,0.406171,80.729446
1,22,2000000000,100,0.543378,48.649879,24.804391,0.443903,79.784838
2,22,2000000000,100,0.539919,46.150358,24.761033,0.387681,77.181923
3,22,2000000000,100,0.539457,48.853971,24.653442,0.414476,79.802192
4,22,2000000000,100,0.540154,48.911010,24.774259,0.394779,79.967789
5,22,2000000000,100,0.541087,48.605018,24.865325,0.408757,79.756073
6,22,2000000000,100,0.541144,48.311293,24.784378,0.393477,79.369234
7,22,2000000000,100,0.540617,48.601494,24.815500,0.401573,79.694357
8,22,2000000000,100,0.541825,48.263929,24.767025,0.412841,79.335706
9,22,2000000000,100,0.540415,48.753812,24.814417,0.418704,79.866380
10,22,2000000000,100,0.540695,48.865392,24.783964,0.422950,79.944705
1,24,2000000000,100,0.497227,47.900105,24.818279,0.407964,78.965908
2,24,2000000000,100,0.496576,45.710103,24.789987,0.404804,76.741511
3,24,2000000000,100,0.496754,48.598209,24.885065,0.402703,79.725437
4,24,2000000000,100,0.497240,48.265288,24.757678,0.421966,79.409517
5,24,2000000000,100,0.496859,47.746827,24.802691,0.409078,78.796953
6,24,2000000000,100,0.496868,47.779489,24.756490,0.415557,78.790262
7,24,2000000000,100,0.496585,47.705902,24.698776,0.396617,78.642433
8,24,2000000000,100,0.496680,47.930368,24.739612,0.435096,78.943143
9,24,2000000000,100,0.497500,47.940217,24.777997,0.403057,78.956425
10,24,2000000000,100,0.496410,47.784334,24.850192,0.405618,78.870779
1,26,2000000000,100,0.460224,47.333270,19.920529,0.406808,73.462273
2,26,2000000000,100,0.463214,44.881248,19.982885,0.390057,71.058294
3,26,2000000000,100,0.467638,47.915275,19.951291,0.490164,74.164303
4,26,2000000000,100,0.460607,47.440679,19.962405,0.410084,73.618981
5,26,2000000000,100,0.461020,47.469116,19.890143,0.371219,73.532062
6,26,2000000000,100,0.459692,47.163625,19.914022,0.372606,73.250161
7,26,2000000000,100,0.463570,47.058790,19.882115,0.441300,73.198035
8,26,2000000000,100,0.460988,47.530417,19.903582,0.417857,73.658986
9,26,2000000000,100,0.460530,46.703394,19.960288,0.433978,72.894019
10,26,2000000000,100,0.460269,47.626758,19.899882,0.397572,73.728660
1,28,2000000000,100,0.432394,47.166433,19.980972,0.395848,73.317434
2,28,2000000000,100,0.428596,44.204378,19.939776,0.400124,70.310248
3,28,2000000000,100,0.429236,46.959429,19.933927,0.439293,73.109344
4,28,2000000000,100,0.429461,46.917727,20.024256,0.374332,73.083656
5,28,2000000000,100,0.429704,46.463315,20.053642,0.472405,72.771042
6,28,2000000000,100,0.428650,46.699720,20.008624,0.398588,72.887025
7,28,2000000000,100,0.430282,46.549492,19.966979,0.400335,72.694057
8,28,2000000000,100,0.428865,46.251186,19.950088,0.398359,72.373699
9,28,2000000000,100,0.428725,46.794132,19.999860,0.405945,72.965195
10,28,2000000000,100,0.429463,47.049080,20.039134,0.432472,73.284729
1,30,2000000000,100,0.403278,46.455749,19.990215,0.464475,72.663726
2,30,2000000000,100,0.402241,44.113418,19.946485,0.444664,70.246671
3,30,2000000000,100,0.403048,46.283177,19.962160,0.404577,72.395153
4,30,2000000000,100,0.402485,46.309457,19.953758,0.397702,72.399357
5,30,2000000000,100,0.402637,46.313201,19.952411,0.442909,72.450729
6,30,2000000000,100,0.404591,46.482752,19.896810,0.404470,72.539189
7,30,2000000000,100,0.402358,46.414834,19.981004,0.430745,72.582745
8,30,2000000000,100,0.405586,45.890229,19.974570,0.419183,72.034010
9,30,2000000000,100,0.402676,46.156013,19.912265,0.392499,72.198702
10,30,2000000000,100,0.402253,45.898830,19.924440,0.411809,71.971337
1,32,2000000000,100,0.380435,45.890916,19.954770,0.395357,71.964792
2,32,2000000000,100,0.379016,43.129591,19.949597,0.413683,69.225749
3,32,2000000000,100,0.379013,45.211418,19.924311,0.373229,71.232830
4,32,2000000000,100,0.379216,45.977264,19.988376,0.405579,72.088635
5,32,2000000000,100,0.384354,45.777789,19.861090,0.410267,71.786013
6,32,2000000000,100,0.377686,45.523856,19.965691,0.391949,71.601391
7,32,2000000000,100,0.378269,45.784147,19.978495,0.460625,71.946059
8,32,2000000000,100,0.378778,45.452870,19.965018,0.415436,71.562196
9,32,2000000000,100,0.378862,45.851778,19.996741,0.397966,71.964825
10,32,2000000000,100,0.378344,45.764301,19.908279,0.385247,71.771077
1,34,2000000000,100,0.358951,45.353324,15.189308,0.380501,66.625279
2,34,2000000000,100,0.357679,43.000331,15.193442,0.411781,64.306170
3,34,2000000000,100,0.359946,45.464407,15.230920,0.373321,66.767626
4,34,2000000000,100,0.359282,45.497040,15.179731,0.395059,66.766342
5,34,2000000000,100,0.358572,45.097553,15.185031,0.368124,66.345155
6,34,2000000000,100,0.360617,45.381293,15.124911,0.383454,66.588577
7,34,2000000000,100,0.357290,45.488153,15.166604,0.393300,66.744035
8,34,2000000000,100,0.359641,45.235542,15.153685,0.353392,66.447342
9,34,2000000000,100,0.358833,45.179834,15.195605,0.355945,66.438195
10,34,2000000000,100,0.359039,45.252868,15.204893,0.379199,66.530267
1,36,2000000000,100,0.341081,44.612199,15.278143,0.395681,65.979002
2,36,2000000000,100,0.341427,42.455268,15.232861,0.467865,63.837907
3,36,2000000000,100,0.342983,44.827838,15.306585,0.432157,66.250137
4,36,2000000000,100,0.341993,44.947439,15.206893,0.403427,66.245935
5,36,2000000000,100,0.344215,44.883364,15.202949,0.405025,66.174002
6,36,2000000000,100,0.340888,44.832058,15.218372,0.389078,66.122503
