Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
7,16,2000000000,100,0.744228,42.813394,31.291005,0.463965,80.655901
8,16,2000000000,100,0.743404,43.237302,31.328216,0.501235,81.154613
9,16,2000000000,100,0.744428,43.624325,31.316481,0.484393,81.504163
10,16,2000000000,100,0.735386,42.309434,31.272371,0.491133,80.147818
1,18,2000000000,100,0.655575,40.456670,27.126882,0.439325,74.018206
2,18,2000000000,100,0.658322,37.956523,27.139706,0.429239,71.627546
3,18,2000000000,100,0.663713,40.184451,27.106864,0.424394,73.719171
4,18,2000000000,100,0.656288,40.364412,27.044071,0.414855,73.818417
5,18,2000000000,100,0.656040,40.233409,27.026324,0.423483,73.682702
6,18,2000000000,100,0.656437,40.285161,27.074020,0.463466,73.828148
7,18,2000000000,100,0.662244,40.333242,27.115169,0.440837,73.888033
8,18,2000000000,100,0.657550,40.141546,27.037780,0.424020,73.601953
9,18,2000000000,100,0.656456,40.558173,27.102503,0.456029,74.109296
10,18,2000000000,100,0.655923,40.248226,27.126876,0.428311,73.792691
1,20,2000000000,100,0.598449,38.547747,22.636569,0.470989,67.591445
2,20,2000000000,100,0.592165,36.471019,22.647306,0.387492,65.438527
3,20,2000000000,100,0.592491,38.384102,22.656667,0.403896,67.376492
4,20,2000000000,100,0.591683,38.336128,22.684923,0.404415,67.356664
5,20,2000000000,100,0.591431,38.321391,22.639140,0.423222,67.329049
6,20,2000000000,100,0.595200,38.073538,22.649678,0.403642,67.063451
7,20,2000000000,100,0.591579,37.934417,22.637615,0.412375,66.912411
8,20,2000000000,100,0.591932,38.114189,22.671515,0.420789,67.141351
9,20,2000000000,100,0.597641,37.889969,22.637568,0.400714,66.863034
10,20,2000000000,100,0.592072,38.051587,22.644784,0.413023,67.042389
1,22,2000000000,100,0.540318,36.556009,22.604590,0.415416,65.460219
2,22,2000000000,100,0.539694,34.139636,22.612515,0.383677,63.025936
3,22,2000000000,100,0.540596,36.452327,22.624101,0.423910,65.379439
4,22,2000000000,100,0.543172,36.447012,22.618857,0.406625,65.365878
5,22,2000000000,100,0.540411,36.380752,22.603514,0.403787,65.273060
6,22,2000000000,100,0.540216,36.092338,22.646950,0.387449,65.009586
7,22,2000000000,100,0.539284,36.124852,22.652183,0.423536,65.078779
8,22,2000000000,100,0.539827,35.984752,22.638201,0.435059,64.953613
9,22,2000000000,100,0.549044,36.553833,22.631940,0.427944,65.499244
10,22,2000000000,100,0.539711,36.155650,22.631169,0.402841,65.063013
1,24,2000000000,100,0.496682,34.832768,22.633249,0.424227,63.729271
2,24,2000000000,100,0.495960,33.120663,22.610787,0.410898,61.978168
3,24,2000000000,100,0.496123,34.898884,22.641331,0.402435,63.777181
4,24,2000000000,100,0.495731,33.895620,22.632212,0.443680,62.806862
5,24,2000000000,100,0.501238,34.568621,22.680102,0.461489,63.552072
6,24,2000000000,100,0.496251,34.659510,22.619969,0.412317,63.530365
7,24,2000000000,100,0.497119,34.794690,22.698205,0.383623,63.713008
8,24,2000000000,100,0.496521,34.758656,22.624533,0.412355,63.636187
9,24,2000000000,100,0.496112,34.856438,22.625935,0.420256,63.736873
10,24,2000000000,100,0.496120,34.619306,22.673370,0.398739,63.522425
1,26,2000000000,100,0.460184,33.577066,18.168255,0.378565,57.923903
2,26,2000000000,100,0.459566,31.950912,18.207859,0.457484,56.418045
3,26,2000000000,100,0.460155,33.629659,18.211747,0.398993,58.039064
4,26,2000000000,100,0.467616,33.338547,18.229827,0.477212,57.853826
5,26,2000000000,100,0.460566,33.553342,18.224831,0.429764,58.008310
6,26,2000000000,100,0.459893,33.411988,18.197996,0.374142,57.794203
7,26,2000000000,100,0.460081,33.206542,18.198332,0.363882,57.568093
8,26,2000000000,100,0.460859,33.378237,18.202475,0.407655,57.793759
9,26,2000000000,100,0.460457,33.197419,18.214243,0.379595,57.586846
10,26,2000000000,100,0.460163,33.737681,18.195456,0.384331,58.110735
1,28,2000000000,100,0.428396,32.426481,18.275119,0.380395,56.859875
2,28,2000000000,100,0.428553,31.125990,18.241727,0.402483,55.540681
3,28,2000000000,100,0.429017,32.408286,18.195960,0.408549,56.788494
4,28,2000000000,100,0.428000,32.622185,18.211325,0.383858,56.983857
5,28,2000000000,100,0.428867,32.364745,18.220925,0.425252,56.791013
6,28,2000000000,100,0.428069,32.534487,18.224531,0.469597,56.998996
7,28,2000000000,100,0.433830,31.373444,18.261071,0.448253,55.872701
8,28,2000000000,100,0.428128,32.214024,18.268552,0.425343,56.687731
9,28,2000000000,100,0.428048,32.137743,18.235827,0.397788,56.534534
10,28,2000000000,100,0.428864,31.606983,18.235259,0.427084,56.031451
1,30,2000000000,100,0.408430,30.536706,18.221675,0.392658,54.901530
2,30,2000000000,100,0.403151,30.093073,18.240600,0.390165,54.469533
3,30,2000000000,100,0.402533,31.392391,18.232547,0.391604,55.774516
4,30,2000000000,100,0.401788,31.206475,18.223772,0.381284,55.551865
5,30,2000000000,100,0.400705,31.413485,18.218247,0.391258,55.763417
6,30,2000000000,100,0.406627,31.337140,18.217724,0.435767,55.736735
7,30,2000000000,100,0.401875,31.074002,18.211074,0.428745,55.459545
8,30,2000000000,100,0.402563,31.102698,18.268397,0.397814,55.515081
9,30,2000000000,100,0.401844,31.355043,18.294240,0.440830,55.830302
10,30,2000000000,100,0.401183,31.343070,18.222663,0.384082,55.685574
1,32,2000000000,100,0.379738,30.637962,18.175225,0.408158,54.941980
2,32,2000000000,100,0.378045,29.265580,18.293256,0.431048,53.707996
