Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,2,1000000000,10000000,2.877478,78.072493,37.721749,1.967217,123.320763
2,2,1000000000,10000000,2.884628,77.927843,37.798178,1.968252,123.266077
3,2,1000000000,10000000,2.871222,51.666927,38.420525,1.968982,97.610809
4,2,1000000000,10000000,2.884611,70.449523,38.162700,1.963897,116.151933
5,2,1000000000,10000000,2.881553,50.366896,38.476119,1.965213,96.370313
6,2,1000000000,10000000,2.869492,75.186400,37.973109,1.964421,120.677439
7,2,1000000000,10000000,2.885623,51.315585,38.376684,1.963662,97.220530
8,2,1000000000,10000000,2.882834,78.098987,37.762360,1.969262,123.391922
9,2,1000000000,10000000,2.884203,67.399153,38.287138,1.969172,113.226537
10,2,1000000000,10000000,2.874927,70.856670,38.130618,1.967308,116.505743
1,4,1000000000,10000000,1.450829,34.280568,19.361544,1.124485,58.907399
2,4,1000000000,10000000,1.450179,33.892644,19.377224,1.124165,58.533759
3,4,1000000000,10000000,1.450968,39.045463,19.378010,1.128743,63.692252
4,4,1000000000,10000000,1.451079,33.026465,19.357893,1.132608,57.657364
5,4,1000000000,10000000,1.449693,34.839517,19.362351,1.129737,59.470759
6,4,1000000000,10000000,1.447579,33.325643,19.380659,1.128151,57.980041
7,4,1000000000,10000000,1.450142,34.696136,19.347359,1.122632,59.307330
8,4,1000000000,10000000,1.452754,33.531644,19.367837,1.140207,58.183338
9,4,1000000000,10000000,1.451311,33.474049,19.358654,1.123743,58.100412
10,4,1000000000,10000000,1.451450,33.658133,19.340431,1.136410,58.273083
1,6,1000000000,10000000,0.969820,22.571196,12.874809,0.793034,39.891611
2,6,1000000000,10000000,0.968098,22.487371,12.872259,0.786859,39.797054
3,6,1000000000,10000000,0.968497,26.493525,12.882480,0.787547,43.814168
4,6,1000000000,10000000,0.969482,23.105451,12.869293,0.806045,40.437847
5,6,1000000000,10000000,0.969635,22.549216,12.871322,0.801218,39.873392
6,6,1000000000,10000000,0.967776,22.462157,12.858320,0.800000,39.772734
7,6,1000000000,10000000,0.969166,22.751989,12.883346,0.807582,40.098992
8,6,1000000000,10000000,0.969195,24.490941,12.875277,0.799572,41.817282
9,6,1000000000,10000000,0.968255,22.547597,12.874565,0.795858,39.870534
10,6,1000000000,10000000,0.971294,22.650709,12.880182,0.797257,39.980541
1,8,1000000000,10000000,0.728845,17.050340,9.644739,0.634070,30.739538
2,8,1000000000,10000000,0.727940,16.912074,9.640912,0.619433,30.581227
3,8,1000000000,10000000,0.740138,17.001471,9.642951,0.633210,30.697042
4,8,1000000000,10000000,0.728340,16.896317,9.638398,0.623779,30.567207
5,8,1000000000,10000000,0.737678,16.959779,9.640897,0.617315,30.639696
6,8,1000000000,10000000,0.736746,16.921283,9.641588,0.645237,30.625186
7,8,1000000000,10000000,0.728226,17.145413,9.640936,0.624643,30.819872
8,8,1000000000,10000000,0.737444,16.998152,9.639640,0.640923,30.693818
9,8,1000000000,10000000,0.728610,17.940472,9.653405,0.635839,31.640425
10,8,1000000000,10000000,0.729536,17.513865,9.645211,0.628028,31.193036
1,10,1000000000,10000000,0.585245,14.023601,7.716737,0.538480,25.543224
2,10,1000000000,10000000,0.585038,13.905548,7.717679,0.537115,25.422919
3,10,1000000000,10000000,0.586235,17.185177,7.719938,0.546137,28.715140
4,10,1000000000,10000000,0.585423,13.763403,7.716421,0.545510,25.287160
5,10,1000000000,10000000,0.585516,13.783788,7.715822,0.548050,25.312485
6,10,1000000000,10000000,0.583261,14.116639,7.719336,0.541154,25.638292
7,10,1000000000,10000000,0.584166,14.337997,7.712663,0.532067,25.843653
8,10,1000000000,10000000,0.584363,13.671727,7.714150,0.527968,25.173824
9,10,1000000000,10000000,0.585131,13.767162,7.715972,0.542463,25.295274
10,10,1000000000,10000000,0.585587,13.961833,7.720028,0.525687,25.469590
1,12,1000000000,10000000,0.488440,11.592937,6.430871,0.474565,21.664547
2,12,1000000000,10000000,0.493712,11.488058,6.428759,0.475838,21.570112
3,12,1000000000,10000000,0.488154,11.528458,6.427561,0.459021,21.578497
4,12,1000000000,10000000,0.492948,11.483607,6.426956,0.466618,21.548485
5,12,1000000000,10000000,0.488013,11.745706,6.427224,0.482626,21.820604
6,12,1000000000,10000000,0.492903,11.969029,6.427323,0.471589,22.037737
7,12,1000000000,10000000,0.487999,11.644658,6.424841,0.473259,21.706228
8,12,1000000000,10000000,0.487805,11.505041,6.428590,0.472572,21.569013
9,12,1000000000,10000000,0.493250,11.625967,6.425778,0.461496,21.690169
10,12,1000000000,10000000,0.488633,11.632062,6.430930,0.460766,21.685467
1,14,1000000000,10000000,0.420204,10.316686,5.510786,0.436894,19.361102
2,14,1000000000,10000000,0.422816,10.867204,5.513139,0.448731,19.926756
3,14,1000000000,10000000,0.419324,10.316215,5.514247,0.437971,19.362895
4,14,1000000000,10000000,0.425462,10.153849,5.512170,0.438317,19.206360
5,14,1000000000,10000000,0.419663,10.328381,5.512069,0.436843,19.371988
6,14,1000000000,10000000,0.419682,10.715262,5.511932,0.436597,19.763074
7,14,1000000000,10000000,0.419361,9.972066,5.513250,0.432355,19.010935
8,14,1000000000,10000000,0.420273,10.025451,5.511919,0.433458,19.064680
9,14,1000000000,10000000,0.419558,10.303408,5.512125,0.439746,19.352509
10,14,1000000000,10000000,0.427887,9.949985,5.515137,0.440696,19.007726
1,16,1000000000,10000000,0.368288,9.032858,4.821318,0.422119,17.322020
2,16,1000000000,10000000,0.368568,10.207272,4.821589,0.395251,18.470606
3,16,1000000000,10000000,0.368088,8.846537,4.820924,0.397552,17.107603
4,16,1000000000,10000000,0.367810,9.050303,4.820684,0.400175,17.314566
5,16,1000000000,10000000,0.367719,8.807783,4.821597,0.400339,17.126199
6,16,1000000000,10000000,0.367891,10.199651,4.819607,0.397069,18.460185
7,16,1000000000,10000000,0.367831,8.850561,4.821424,0.408467,17.123871
8,16,1000000000,10000000,0.368071,8.826297,4.820399,0.395426,17.084907
9,16,1000000000,10000000,0.369140,10.153495,4.821499,0.396214,18.419018
10,16,1000000000,10000000,0.368309,8.819032,4.820901,0.406752,17.088927
1,18,1000000000,10000000,0.330243,8.189905,4.290300,0.387879,15.876085
