Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
1,2,2000000000,100,5.798129,76.244608,214.878363,2.737215,304.944162
2,2,2000000000,100,5.754578,76.364961,208.096086,2.732818,298.237804
3,2,2000000000,100,5.814591,76.115656,212.759204,2.733301,302.708981
4,2,2000000000,100,5.839988,78.013546,211.434990,2.733871,303.308676
5,2,2000000000,100,5.770854,75.943274,214.761384,2.743851,304.510785
6,2,2000000000,100,5.769729,78.403108,208.018847,2.719756,300.188391
7,2,2000000000,100,5.775287,77.206209,213.043374,2.733696,304.038900
8,2,2000000000,100,5.772943,76.902388,215.692701,2.743845,306.411672
9,2,2000000000,100,5.773174,77.318820,217.020150,2.734763,308.143702
10,2,2000000000,100,5.840486,79.020691,216.605443,2.736633,309.492004
1,4,2000000000,100,2.902904,138.796648,108.792307,1.402221,257.234350
2,4,2000000000,100,2.886427,124.073774,108.723359,1.442107,242.466353
3,4,2000000000,100,2.908953,137.604814,109.336037,1.491997,256.684701
4,4,2000000000,100,2.901617,139.831495,109.828798,1.451989,259.355938
5,4,2000000000,100,2.889824,135.981562,109.077901,1.463381,254.750474
6,4,2000000000,100,2.880577,136.010678,108.924664,1.450374,254.606397
7,4,2000000000,100,2.888224,134.191034,110.141171,1.460919,254.021203
8,4,2000000000,100,2.884625,138.850834,110.393028,1.460407,258.930313
9,4,2000000000,100,2.877822,135.881912,109.300822,1.481466,254.885827
10,4,2000000000,100,2.892394,136.186431,108.157919,1.434743,254.007563
1,6,2000000000,100,1.961103,125.107640,74.994742,1.017769,208.422887
2,6,2000000000,100,1.934286,111.444632,75.101578,0.992924,194.817458
3,6,2000000000,100,1.945858,123.940161,75.685656,0.995730,207.901964
4,6,2000000000,100,1.943797,123.236682,75.496549,1.017920,207.030081
5,6,2000000000,100,1.942410,123.582516,75.679593,0.964423,207.502055
6,6,2000000000,100,1.938895,123.870420,75.413788,0.996903,207.555291
7,6,2000000000,100,1.936586,123.290890,75.599080,0.965826,207.255932
8,6,2000000000,100,1.939110,125.198323,75.768429,0.995580,209.239678
9,6,2000000000,100,1.938168,124.983172,74.775844,1.001286,208.036964
10,6,2000000000,100,1.939976,124.712847,74.501405,1.002355,207.489215
1,8,2000000000,100,1.458792,118.863354,57.954596,0.764001,184.383034
2,8,2000000000,100,1.460532,106.608609,58.141774,0.782693,172.331971
3,8,2000000000,100,1.455632,117.301823,57.698280,0.763502,182.559524
4,8,2000000000,100,1.457210,117.000621,57.830719,0.763513,182.391731
5,8,2000000000,100,1.457821,116.723363,57.511041,0.770745,181.798828
6,8,2000000000,100,1.456048,115.880105,58.040196,0.776324,181.491061
7,8,2000000000,100,1.472385,116.677903,57.677172,0.792000,181.960410
8,8,2000000000,100,1.457221,116.673011,57.867164,0.748821,182.095323
9,8,2000000000,100,1.456351,115.512620,57.980488,0.773927,181.060305
10,8,2000000000,100,1.475935,115.299264,58.115669,0.750151,180.983878
1,10,2000000000,100,1.169687,112.216421,44.804844,0.615460,164.159664
2,10,2000000000,100,1.167666,102.601169,44.815418,0.616310,154.540624
3,10,2000000000,100,1.171726,112.142487,44.700055,0.626739,163.979777
4,10,2000000000,100,1.169158,112.606320,44.892163,0.620704,164.625276
5,10,2000000000,100,1.183327,110.188477,45.006005,0.622194,162.334768
6,10,2000000000,100,1.169752,112.482193,44.870633,0.614617,164.472659
7,10,2000000000,100,1.167881,111.579683,44.838395,0.623995,163.556991
8,10,2000000000,100,1.181304,112.173011,44.886504,0.617179,164.204879
9,10,2000000000,100,1.169171,111.074458,44.791607,0.621773,162.993406
10,10,2000000000,100,1.171467,111.968511,44.534770,0.624414,163.636660
1,12,2000000000,100,0.976774,108.182937,40.579696,0.563408,155.642659
2,12,2000000000,100,0.976849,97.543731,40.433879,0.567313,144.861774
3,12,2000000000,100,0.975396,108.336823,40.502660,0.553112,155.707639
4,12,2000000000,100,0.988506,109.068837,40.401205,0.562947,156.360598
5,12,2000000000,100,0.976796,106.391775,40.235958,0.538491,153.478684
6,12,2000000000,100,0.976285,108.299327,40.412722,0.568319,155.598936
7,12,2000000000,100,0.976476,107.055876,40.534738,0.560528,154.470163
8,12,2000000000,100,0.976137,107.288563,40.343506,0.563413,154.514575
9,12,2000000000,100,0.978970,106.663736,40.587133,0.562349,154.131513
10,12,2000000000,100,0.975998,107.687712,40.364476,0.562633,154.930081
1,14,2000000000,100,0.840620,101.773497,35.902547,0.515195,144.373113
2,14,2000000000,100,0.838183,92.551244,35.795466,0.512467,135.038147
3,14,2000000000,100,0.839634,102.526464,36.099404,0.516622,145.319786
4,14,2000000000,100,0.840563,103.138932,35.822381,0.516849,145.658992
5,14,2000000000,100,0.840069,100.161561,35.947427,0.501478,142.789916
6,14,2000000000,100,0.839422,101.351159,35.812172,0.565090,143.904694
7,14,2000000000,100,0.839897,100.992837,35.805331,0.505265,143.481171
8,14,2000000000,100,0.852569,102.924349,35.806646,0.569130,145.494098
9,14,2000000000,100,0.839341,102.481243,35.950197,0.509610,145.119937
10,14,2000000000,100,0.839517,102.993302,35.822213,0.570506,145.573632
1,16,2000000000,100,0.736525,98.164240,31.527690,0.459864,136.228955
2,16,2000000000,100,0.736782,88.376016,31.338630,0.481915,126.275849
3,16,2000000000,100,0.736503,97.829032,31.459023,0.465708,135.828211
4,16,2000000000,100,0.735638,98.509220,31.474161,0.451639,136.508036
5,16,2000000000,100,0.736375,97.331021,31.451022,0.484117,135.344978
6,16,2000000000,100,0.739092,96.205969,31.422548,0.484543,134.191734
7,16,2000000000,100,0.735413,96.277327,31.350466,0.450010,134.155385
8,16,2000000000,100,0.736376,97.733506,31.371505,0.469489,135.653293
9,16,2000000000,100,0.735983,96.465138,31.284308,0.481027,134.304734
10,16,2000000000,100,0.736438,97.938983,31.516021,0.477406,136.123486
1,18,2000000000,100,0.656896,93.622378,27.105753,0.461656,127.186087
2,18,2000000000,100,0.656107,85.069041,27.091307,0.440424,118.597527
3,18,2000000000,100,0.656623,93.045690,27.161071,0.414159,126.615341
4,18,2000000000,100,0.659368,93.962132,27.188250,0.447872,127.595317
5,18,2000000000,100,0.657285,93.774553,27.092356,0.485383,127.348075
6,18,2000000000,100,0.657547,93.662917,27.098475,0.407494,127.168071
7,18,2000000000,100,0.658482,92.841157,27.153526,0.458032,126.458859
8,18,2000000000,100,0.656568,94.038677,27.065602,0.417069,127.516830
9,18,2000000000,100,0.657067,92.307145,27.180089,0.444972,125.925612
10,18,2000000000,100,0.657184,93.177411,27.150885,0.428654,126.753292
1,20,2000000000,100,0.598159,90.423426,22.685314,0.400314,119.449139
2,20,2000000000,100,0.592368,82.937486,22.664872,0.432464,111.976822
3,20,2000000000,100,0.592608,91.669880,22.681293,0.388454,120.669934
4,20,2000000000,100,0.591466,91.372488,22.721408,0.427856,120.453109
5,20,2000000000,100,0.593902,89.353504,22.655309,0.397678,118.338911
6,20,2000000000,100,0.597623,89.746232,22.669638,0.387415,118.742228
7,20,2000000000,100,0.593553,90.618967,22.702234,0.386206,119.636998
8,20,2000000000,100,0.592353,89.466247,22.691423,0.429773,118.523972
9,20,2000000000,100,0.594005,90.340454,22.733502,0.405307,119.422490
10,20,2000000000,100,0.592827,91.439079,22.684021,0.410983,120.474426
1,22,2000000000,100,0.541842,89.336832,22.609103,0.424199,118.253694
2,22,2000000000,100,0.543521,81.059301,22.618277,0.411695,109.972456
3,22,2000000000,100,0.540697,89.416556,22.668025,0.446173,118.411793
4,22,2000000000,100,0.539600,89.096635,22.591516,0.395473,117.961089
5,22,2000000000,100,0.545018,87.053157,22.612516,0.457374,116.017191
6,22,2000000000,100,0.544649,86.618970,22.628139,0.406625,115.540745
7,22,2000000000,100,0.539944,88.361544,22.698076,0.437210,117.371022
8,22,2000000000,100,0.540240,88.098913,22.621918,0.435685,117.038823
9,22,2000000000,100,0.545749,86.965450,22.689549,0.399181,115.934345
10,22,2000000000,100,0.544317,89.447483,22.614953,0.476204,118.424031
1,24,2000000000,100,0.502302,87.410316,22.677718,0.397787,116.330321
2,24,2000000000,100,0.497167,79.668750,22.716783,0.414403,108.636300
3,24,2000000000,100,0.497630,87.344570,22.679931,0.452347,116.320271
4,24,2000000000,100,0.496279,87.845766,22.672310,0.389872,116.751401
5,24,2000000000,100,0.496217,85.806217,22.717616,0.424236,114.791886
6,24,2000000000,100,0.500314,85.488125,22.666136,0.532868,114.530829
7,24,2000000000,100,0.497065,86.322875,22.661251,0.422640,115.245915
8,24,2000000000,100,0.496507,86.441688,22.746120,0.404304,115.432405
9,24,2000000000,100,0.495967,87.094533,22.797037,0.413717,116.138780
10,24,2000000000,100,0.495561,87.852733,22.645966,0.409111,116.737842
1,26,2000000000,100,0.466686,85.976111,18.257435,0.409675,110.464235
2,26,2000000000,100,0.461071,78.821410,18.254502,0.390734,103.266658
3,26,2000000000,100,0.460189,86.412439,18.275914,0.376459,110.863535
4,26,2000000000,100,0.460383,85.360428,18.276841,0.416806,109.855044
5,26,2000000000,100,0.460240,86.138608,18.257380,0.420991,110.618322
6,26,2000000000,100,0.459725,85.155462,18.300719,0.424404,109.684919
7,26,2000000000,100,0.460479,85.445459,18.261235,0.386069,109.896232
8,26,2000000000,100,0.463513,84.582784,18.253011,0.422747,109.066405
9,26,2000000000,100,0.460296,85.279665,18.261147,0.398588,109.735135
10,26,2000000000,100,0.460597,85.473405,18.230276,0.370220,109.869981
1,28,2000000000,100,0.429370,84.083825,18.259495,0.403989,108.518534
2,28,2000000000,100,0.429695,78.967867,18.266330,0.418666,103.421967
3,28,2000000000,100,0.433116,84.650905,18.231834,0.462871,109.116874
4,28,2000000000,100,0.436707,84.901460,18.236738,0.423899,109.340183
5,28,2000000000,100,0.429522,84.458412,18.248517,0.413145,108.887740
6,28,2000000000,100,0.428671,83.926819,18.253706,0.380699,108.332830
7,28,2000000000,100,0.433916,85.551029,18.251915,0.400106,109.982056
8,28,2000000000,100,0.428993,83.286973,18.239689,0.376998,107.677256
9,28,2000000000,100,0.428654,83.486131,18.261743,0.412249,107.937353
10,28,2000000000,100,0.432054,85.531802,18.242443,0.400265,109.942073
1,30,2000000000,100,0.401719,86.313988,18.228317,0.391182,110.675539
2,30,2000000000,100,0.402539,78.178063,18.241338,0.446726,102.610475
3,30,2000000000,100,0.403472,85.432751,18.257811,0.413655,109.851044
4,30,2000000000,100,0.408739,83.911395,18.311136,0.436802,108.406207
5,30,2000000000,100,0.402333,85.273830,18.266618,0.372407,109.654296
6,30,2000000000,100,0.402765,84.939171,18.272257,0.425820,109.381108
7,30,2000000000,100,0.402875,84.418250,18.272090,0.407789,108.847044
8,30,2000000000,100,0.406829,86.412155,18.299656,0.431286,110.896399
9,30,2000000000,100,0.402348,86.164992,18.235528,0.420257,110.559534
10,30,2000000000,100,0.402772,84.972834,18.297717,0.391041,109.397558
1,32,2000000000,100,0.380113,83.848554,18.219384,0.379885,108.175377
2,32,2000000000,100,0.381559,82.720293,18.325871,0.399366,107.170299
3,32,2000000000,100,0.382678,85.752825,18.185060,0.456242,110.119041
4,32,2000000000,100,0.378658,84.979081,18.189663,0.399665,109.286107
5,32,2000000000,100,0.379177,89.169007,18.191264,0.403783,113.482322
6,32,2000000000,100,0.378125,87.342049,18.179677,0.402791,111.643668
7,32,2000000000,100,0.382891,84.725791,18.279967,0.461536,109.191648
8,32,2000000000,100,0.379841,85.431758,18.297533,0.395990,109.852501
9,32,2000000000,100,0.377965,85.571958,18.188529,0.468162,109.943626
10,32,2000000000,100,0.381742,90.331371,18.244206,0.450419,114.742758
1,34,2000000000,100,0.360330,90.628967,13.876472,0.364691,110.576760
2,34,2000000000,100,0.358706,86.680375,13.884101,0.404515,106.672513
3,34,2000000000,100,0.361718,92.476345,13.916676,0.444932,112.547436
