Iteration,Threads,Size,Buckets,Gen_Time,Split_Time,Sort_Time,Write_Time,Total_Time
7,16,2000000000,100,0.745835,61.123162,31.505557,0.479360,99.206069
8,16,2000000000,100,0.736701,61.751675,31.395984,0.440311,99.666501
9,16,2000000000,100,0.736653,61.584217,31.580128,0.443643,99.682036
10,16,2000000000,100,0.737593,62.302806,31.430696,0.468571,100.278021
1,18,2000000000,100,0.666091,59.167122,27.139796,0.469308,92.781298
2,18,2000000000,100,0.660882,54.144494,27.147162,0.443136,87.738007
3,18,2000000000,100,0.657448,59.780972,27.182805,0.460723,93.418061
4,18,2000000000,100,0.657453,59.096878,27.153969,0.432987,92.680471
5,18,2000000000,100,0.658001,58.994300,27.137070,0.428856,92.554662
6,18,2000000000,100,0.662227,59.473750,27.190514,0.439494,93.106574
7,18,2000000000,100,0.660609,58.294506,27.169440,0.437955,91.898138
8,18,2000000000,100,0.666293,58.882465,27.175630,0.448663,92.514385
9,18,2000000000,100,0.657751,58.698173,27.093949,0.426496,92.211850
10,18,2000000000,100,0.657224,59.564609,27.182125,0.446769,93.183566
1,20,2000000000,100,0.593440,57.126307,22.708965,0.433812,86.202680
2,20,2000000000,100,0.592713,53.042182,22.599894,0.399889,81.972695
3,20,2000000000,100,0.593270,56.718952,22.689198,0.400775,85.741495
4,20,2000000000,100,0.593050,57.147638,22.724227,0.388068,86.191337
5,20,2000000000,100,0.596458,56.908430,22.728398,0.488041,86.057943
6,20,2000000000,100,0.595540,57.316285,22.764521,0.393997,86.411804
7,20,2000000000,100,0.594211,56.547961,22.657100,0.427289,85.561481
8,20,2000000000,100,0.593138,57.637437,22.682533,0.406139,86.662972
9,20,2000000000,100,0.600381,56.242569,22.734622,0.424936,85.339799
10,20,2000000000,100,0.600828,57.465664,22.704925,0.387504,86.493041
1,22,2000000000,100,0.546773,54.830114,22.645988,0.400170,83.766409
2,22,2000000000,100,0.540340,52.126722,22.697853,0.451723,81.156638
3,22,2000000000,100,0.541345,55.003691,22.662647,0.395006,83.941900
4,22,2000000000,100,0.541004,55.231639,22.637950,0.402255,84.153253
5,22,2000000000,100,0.542335,54.924865,22.676825,0.421311,83.903551
6,22,2000000000,100,0.541197,54.982288,22.760640,0.427066,84.052367
7,22,2000000000,100,0.540523,54.232829,22.759770,0.447343,83.424508
8,22,2000000000,100,0.541662,55.067247,22.640592,0.402954,84.002988
9,22,2000000000,100,0.541047,55.068127,22.697580,0.467733,84.114122
10,22,2000000000,100,0.541543,55.299949,22.690783,0.414689,84.282279
1,24,2000000000,100,0.503780,53.946671,22.681156,0.486910,82.969836
2,24,2000000000,100,0.497273,50.227863,22.628909,0.402969,79.097276
3,24,2000000000,100,0.498234,53.674357,22.692725,0.420400,82.624541
4,24,2000000000,100,0.503349,53.522653,22.628847,0.387452,82.382273
5,24,2000000000,100,0.498337,53.822848,22.776848,0.386834,82.823979
6,24,2000000000,100,0.503434,53.370925,22.596946,0.447508,82.258935
7,24,2000000000,100,0.498329,53.372310,22.708175,0.470816,82.388811
8,24,2000000000,100,0.497463,53.391606,22.605947,0.405873,82.246150
9,24,2000000000,100,0.496789,53.720128,22.723461,0.432306,82.709857
10,24,2000000000,100,0.502269,53.632704,22.714366,0.427959,82.611474
1,26,2000000000,100,0.461199,52.771371,18.251880,0.369647,77.195181
2,26,2000000000,100,0.460796,49.033077,18.307479,0.370036,73.512554
3,26,2000000000,100,0.461315,52.825834,18.269629,0.398115,77.293618
4,26,2000000000,100,0.460846,52.518843,18.233409,0.371760,76.926669
5,26,2000000000,100,0.461797,52.343933,18.298053,0.364991,76.820192
6,26,2000000000,100,0.460474,52.232352,18.270971,0.398625,76.702980
7,26,2000000000,100,0.463170,52.497494,18.231867,0.411335,76.943567
8,26,2000000000,100,0.462780,51.930108,18.245125,0.347896,76.331730
9,26,2000000000,100,0.460711,52.227006,18.241700,0.401137,76.666584
10,26,2000000000,100,0.464958,52.649208,18.283406,0.436963,77.166986
1,28,2000000000,100,0.429249,51.123039,18.251306,0.418059,75.570760
2,28,2000000000,100,0.431982,48.445784,18.311931,0.409948,72.952178
3,28,2000000000,100,0.429468,51.082323,18.260585,0.444385,75.558658
4,28,2000000000,100,0.429173,51.891883,18.329016,0.442274,76.431295
5,28,2000000000,100,0.430002,51.482030,18.276389,0.415524,75.956021
6,28,2000000000,100,0.429442,51.064624,18.347948,0.385303,75.576226
7,28,2000000000,100,0.429608,51.397079,18.307730,0.482018,75.963796
8,28,2000000000,100,0.429397,51.370919,18.302240,0.404618,75.852459
9,28,2000000000,100,0.434908,51.028046,18.275304,0.378789,75.462886
10,28,2000000000,100,0.429555,51.602065,18.239349,0.378905,75.984457
1,30,2000000000,100,0.403224,50.896215,18.319055,0.453989,75.415454
2,30,2000000000,100,0.402673,47.047115,18.289284,0.419944,71.499653
3,30,2000000000,100,0.403743,50.767756,18.284406,0.387617,75.184889
4,30,2000000000,100,0.406497,50.527949,18.278399,0.445863,74.995162
5,30,2000000000,100,0.405651,50.785962,18.275118,0.404444,75.210970
6,30,2000000000,100,0.403069,50.347421,18.275618,0.436215,74.808384
7,30,2000000000,100,0.402606,50.733452,18.305808,0.425678,75.218798
8,30,2000000000,100,0.403106,49.664532,18.259778,0.464050,74.138431
9,30,2000000000,100,0.402850,50.583253,18.300590,0.418071,75.041431
10,30,2000000000,100,0.406682,50.419423,18.256554,0.376046,74.795698
1,32,2000000000,100,0.380391,50.347537,18.192706,0.425550,74.691079
